day,months,year,co2
15,1,1959,315.42
15,2,1959,316.31
15,3,1959,316.5
15,4,1959,317.56
15,5,1959,318.13
15,6,1959,318
15,7,1959,316.39
15,8,1959,314.65
15,9,1959,313.68
15,10,1959,313.18
15,11,1959,314.66
15,12,1959,315.43
15,1,1960,316.27
15,2,1960,316.81
15,3,1960,317.42
15,4,1960,318.87
15,5,1960,319.87
15,6,1960,319.43
15,7,1960,318.01
15,8,1960,315.74
15,9,1960,314
15,10,1960,313.68
15,11,1960,314.84
15,12,1960,316.03
15,1,1961,316.73
15,2,1961,317.54
15,3,1961,318.38
15,4,1961,319.31
15,5,1961,320.42
15,6,1961,319.61
15,7,1961,318.42
15,8,1961,316.63
15,9,1961,314.83
15,10,1961,315.16
15,11,1961,315.94
15,12,1961,316.85
15,1,1962,317.78
15,2,1962,318.4
15,3,1962,319.53
15,4,1962,320.42
15,5,1962,320.85
15,6,1962,320.45
15,7,1962,319.45
15,8,1962,317.25
15,9,1962,316.11
15,10,1962,315.27
15,11,1962,316.53
15,12,1962,317.53
15,1,1963,318.58
15,2,1963,318.92
15,3,1963,319.7
15,4,1963,321.22
15,5,1963,322.08
15,6,1963,321.31
15,7,1963,319.58
15,8,1963,317.61
15,9,1963,316.05
15,10,1963,315.83
15,11,1963,316.91
15,12,1963,318.2
15,1,1964,319.41
15,2,1964,320.07
15,3,1964,320.74
15,4,1964,321.4
15,5,1964,322.06
15,6,1964,321.73
15,7,1964,320.27
15,8,1964,318.54
15,9,1964,316.54
15,10,1964,316.71
15,11,1964,317.53
15,12,1964,318.55
15,1,1965,319.27
15,2,1965,320.28
15,3,1965,320.73
15,4,1965,321.97
15,5,1965,322
15,6,1965,321.71
15,7,1965,321.05
15,8,1965,318.71
15,9,1965,317.66
15,10,1965,317.14
15,11,1965,318.7
15,12,1965,319.25
15,1,1966,320.46
15,2,1966,321.43
15,3,1966,322.23
15,4,1966,323.54
15,5,1966,323.91
15,6,1966,323.59
15,7,1966,322.24
15,8,1966,320.2
15,9,1966,318.48
15,10,1966,317.94
15,11,1966,319.63
15,12,1966,320.87
15,1,1967,322.17
15,2,1967,322.34
15,3,1967,322.88
15,4,1967,324.25
15,5,1967,324.83
15,6,1967,323.93
15,7,1967,322.38
15,8,1967,320.76
15,9,1967,319.1
15,10,1967,319.24
15,11,1967,320.56
15,12,1967,321.8
15,1,1968,322.4
15,2,1968,322.99
15,3,1968,323.73
15,4,1968,324.86
15,5,1968,325.4
15,6,1968,325.2
15,7,1968,323.98
15,8,1968,321.95
15,9,1968,320.18
15,10,1968,320.09
15,11,1968,321.16
15,12,1968,322.74
15,1,1969,323.83
15,2,1969,324.26
15,3,1969,325.47
15,4,1969,326.5
15,5,1969,327.21
15,6,1969,326.54
15,7,1969,325.72
15,8,1969,323.5
15,9,1969,322.22
15,10,1969,321.62
15,11,1969,322.69
15,12,1969,323.95
15,1,1970,324.89
15,2,1970,325.82
